platform,model,sentiment,sentiment_display,gt_total,predicted_count,tp,fp,fn,abstain_on_gt,gt_coverage_valid,precision,recall,f1,specificity,balanced_accuracy,micro_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Facebook,DL—BERT-multi,POS,Positive,144,172,110,62,33,1,0.993,0.64,0.764,0.696,0.68,0.722,,,,,
Facebook,DL—BERT-multi,NEG,Negative,99,155,79,76,20,0,1,0.51,0.798,0.622,0.682,0.74,,,,,
Facebook,DL—BERT-multi,NEU,Neutral,95,10,4,6,91,0,1,0.4,0.042,0.076,0.975,0.509,,,,,
Facebook,DL—BERT-multi,ALL,All,338,337,193,144,144,1,0.997,,,,,,0.573,0.516,0.535,0.465,0.5
Facebook,DL—BETO,POS,Positive,144,113,86,27,57,1,0.993,0.761,0.597,0.669,0.861,0.729,,,,,
Facebook,DL—BETO,NEG,Negative,99,47,40,7,59,0,1,0.851,0.404,0.548,0.971,0.687,,,,,
Facebook,DL—BETO,NEU,Neutral,95,177,69,108,26,0,1,0.39,0.726,0.507,0.556,0.641,,,,,
Facebook,DL—BETO,ALL,All,338,337,195,142,142,1,0.997,,,,,,0.579,0.667,0.576,0.575,0.588
Facebook,DL—RoBERTa,POS,Positive,144,19,16,3,127,1,0.993,0.842,0.111,0.196,0.985,0.548,,,,,
Facebook,DL—RoBERTa,NEG,Negative,99,3,3,0,96,0,1,1,0.03,0.059,1,0.515,,,,,
Facebook,DL—RoBERTa,NEU,Neutral,95,315,95,220,0,0,1,0.302,1,0.463,0.095,0.547,,,,,
Facebook,DL—RoBERTa,ALL,All,338,337,114,223,223,1,0.997,,,,,,0.338,0.715,0.38,0.24,0.231
Facebook,DL—pysentimiento,POS,Positive,144,83,70,13,73,1,0.993,0.843,0.486,0.617,0.933,0.71,,,,,
Facebook,DL—pysentimiento,NEG,Negative,99,96,74,22,25,0,1,0.771,0.747,0.759,0.908,0.828,,,,,
Facebook,DL—pysentimiento,NEU,Neutral,95,158,69,89,26,0,1,0.437,0.726,0.545,0.634,0.68,,,,,
Facebook,DL—pysentimiento,ALL,All,338,337,213,124,124,1,0.997,,,,,,0.632,0.684,0.653,0.64,0.638
Facebook,Few—GPT-3.5,POS,Positive,144,170,135,35,8,1,0.993,0.794,0.938,0.86,0.82,0.879,,,,,
Facebook,Few—GPT-3.5,NEG,Negative,99,78,73,5,26,0,1,0.936,0.737,0.825,0.979,0.858,,,,,
Facebook,Few—GPT-3.5,NEU,Neutral,95,89,60,29,35,0,1,0.674,0.632,0.652,0.881,0.756,,,,,
Facebook,Few—GPT-3.5,ALL,All,338,337,268,69,69,1,0.997,,,,,,0.795,0.801,0.769,0.779,0.791
